 Lista de Imóveis da Caixa;;Data de geração:;06/03/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso
 8444416023003 ;SC ;CRICIUMA ;SAO DEFENDE ;RUA JARDELINO TEODORO DA CONCEICAO, N. 170, QD 06 LT 25 ;215.000,00;215.000,00;0.00;Não;Casa, 0.00 de área total, 62.03 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416023003
 8787706438837 ;SC ;CRICIUMA ;SAO DEFENDE ;RUA AFONSO MILANESE, N. 0, Apto 404, BL 15 ;195.000,00;195.000,00;0.00;Não;Apartamento, 47.65 de área total, 41.97 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706438837
 8787709042365 ;SC ;CRICIUMA ;SAO DEFENDE ;RUA AFONSO MILANESE, N. SN, Apto 204, BL12, PAV2 ;160.000,00;160.000,00;0.00;Não;Apartamento, 0.00 de área total, 41.97 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709042365
 8787710038031 ;SC ;CRICIUMA ;MINA DO MATO ;RUA OCTAVIO DE LUCCA, N. 445, Apto 103, BL 06 - B ;219.000,00;219.000,00;0.00;Não;Apartamento, 63.33 de área total, 52.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710038031
 8787703295547 ;SC ;CRICIUMA ;MINA UNIAO ;RUA LIBANO JOSE GOMES, N. 885, Apto 401, BL 09 ;164.000,00;164.000,00;0.00;Não;Apartamento, 46.02 de área total, 41.12 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703295547
 8787704174441 ;SC ;CRICIUMA ;MINA UNIAO ;RUA LIBANO JOSE GOMES, N. 885, Apto 104, BL 05 ;195.000,00;195.000,00;0.00;Não;Apartamento, 0.00 de área total, 40.39 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704174441
 8444425938515 ;SC ;CRICIUMA ;VILA FLORESTA II ;RUA IRENE BURIGO COSTA, N. 0, L17, Q H ;176.102,55;113.539,33;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425938515
 8444427100608 ;SC ;CRICIUMA ;SAO DEFENDE ;RUA GRACIOSO PERUCHI, N. SN, QD G LT 02 ;193.966,87;120.000,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 361.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427100608
 8444415127697 ;SC ;CURITIBANOS ;São Luiz ; RUA JUVENAL CAETANO DA SILVA, N. SN, CS 10 ;114.838,57;190.000,00;39.56;Sim;Casa, 56.49 de área total, 56.49 de área privativa, 135.71 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415127697
 1555517657664 ;SC ;CURITIBANOS ;Centro ;RUA MIGUEL DRISSEN, N. 10, LT 06 QD 08 ;828.508,59;1.300.000,00;36.27;Sim;Casa, 0.00 de área total, 314.61 de área privativa, 372.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555517657664
